UID,Name,Age,Weight,Height,Rc Injury,Nat,Division,Club,Wage,Expires,Position,Sec. Position,Starts,Mins,Pas %,Asts/90,xA/90,Pr passes/90,OP-KP/90,Ch C/90,OP-Cr %,OP-Crs C/90,Conv %,xG-OP,ShT/90,Shots Outside Box/90,NP-xG/90,Gl Mst,Tck/90,Tck R,Clr/90,K Tck/90,K Hdrs/90,Aer A/90,Hdr %,Hdrs W/90,Blk/90,Poss Won/90,Poss Lost/90,Sprints/90,Drb/90,Dist/90,Pres C/90,Pres A/90,Svt,Svp,Svh,xGP/90
70111573,Muhammet Özkal,25,80 kg,183 cm,-,TUR,Spor Toto 1. Lig,Denizlispor,"€59,500 p/a",30/6/2027,D (C),-,36,"3,240",88%,0.08,0.06,3.81,0.36,0.03,0%,0,-,-4.52,0.06,0.19,0.13,0,1,78%,1.75,0.25,0.72,8.94,71%,6.36,0.39,15.97,3.28,5.75,0.19,11.6km,1.19,3.5,-,-,-,-
15068499,Josh Cavallo,25,70 kg,176 cm,-,AUS,Isuzu UTE A-League,Adelaide United,"€59,500 p/a",30/6/2026,D/WB/M/AM (L),-,21,"1,603",84%,0.11,0.09,1.57,0.79,0.22,11%,0.45,10%,-0.04,0.22,0.17,0.11,0,1.46,79%,1.29,0,0.17,7.3,22%,1.63,0.51,4.6,16.9,12.18,2.58,12.2km,2.58,12.18,-,-,-,-
28081136,Tom Beadling,29,79 kg,185 cm,Damaged spine,AUS,Isuzu UTE A-League,Western Sydney Wanderers,"€59,500 p/a",30/6/2025,"DM, M (C)",-,16,"1,460",84%,-,0.05,3.88,0.8,-,44%,0.25,6%,-0.51,0.25,0.31,0.09,0,2.4,83%,1.36,0.06,0.31,5.3,57%,3.02,0.55,11.16,11.77,9.74,0.55,12.4km,2.84,10.36,-,-,-,-
30019004,David Wheeler,34,75 kg,180 cm,-,ENG,Sky Bet League One,Exeter,"€59,500 p/a",30/6/2026,"DM, M (RC)",M (R),11,"1,175",86%,-,0.25,2.6,0.84,0.23,9%,0,13%,0.62,0.08,0.46,0.03,0,1.53,80%,0.84,0.08,0.46,5.74,49%,2.83,0.46,10.26,16.09,8.73,0.61,11.9km,2.37,11.34,-,-,-,-
88025279,Alex Paulsen,22,83 kg,183 cm,-,NZL,Isuzu UTE A-League,Wellington Phoenix,"€59,500 p/a",30/6/2027,GK,-,25,"2,265",55%,-,0,0,0,-,-,-,-,0,-,-,0,1,0.04,33%,7.15,0,0,-,-,-,-,4.89,6.6,0,-,5.7km,0,0,12,31,16,0.12
65037064,Givemore Khupe,25,73 kg,180 cm,-,RSA,DStv Premiership,TS Galaxy,"€60,000 p/a",30/6/2026,D (C),-,31,"2,569",85%,-,0.06,3.33,0.42,0.11,100%,0.04,-,-3.04,0.04,0.14,0.11,0,1.09,78%,1.51,0.21,0.88,9.18,65%,5.92,0.63,13.87,4.45,4.48,0.14,10.6km,1.16,2.73,-,-,-,-
19393812,Carlos Daniel,23,71 kg,177 cm,-,BRA,Liga Portugal 2 SABSEG,AVS SAD,"€60,000 p/a",30/6/2026,AM (R),-,35,"2,776",83%,0.06,0.14,2.43,1.13,0.1,10%,0.32,12%,-0.38,0.39,0.42,0.14,0,2.17,81%,0.91,0.06,0,4.12,48%,1.98,0.39,5.8,12.97,13.23,2.95,11.9km,3.14,13.29,-,-,-,-
65029933,Dumisani Msibi,30,77 kg,185 cm,-,RSA,DStv Premiership,Polokwane City,"€60,000 p/a",30/6/2026,GK,-,25,"2,174",47%,0.04,0.01,0.12,0.04,-,-,-,-,0,-,-,0,0,0,0%,8.78,0,0,-,-,-,-,3.23,7.82,0.04,-,5.2km,0,0,12,42,26,0.09
55038675,Tiago Ilori,32,79 kg,190 cm,Calf strain,POR,Liga Portugal 2 SABSEG,Belenenses,"€60,000 p/a",30/6/2026,D (C),-,15,"1,211",88%,0.07,0.01,4.46,0.22,-,25%,0.07,-,-0.42,0,0.22,0.03,0,1.41,90%,1.64,0.15,1.04,8.84,77%,6.84,0.15,16.8,2.75,3.27,0.07,11.2km,1.56,3.72,-,-,-,-
29235542,Jed Ward,21,70 kg,188 cm,-,ENG,Sky Bet League One,Bristol Rovers,"€60,000 p/a",30/6/2026,GK,-,52,"4,680",57%,-,0,0,0.02,-,-,-,-,0,-,-,0,1,0,0%,9.69,0,0,-,-,-,-,2.94,7.29,0,-,5.2km,0,0,18,81,40,-0.05
65011561,Boalefa Pule,35,79 kg,187 cm,-,RSA,DStv Premiership,Baroka,"€60,000 p/a",30/6/2026,GK,-,29,"2,589",62%,-,0,0.07,0,-,-,-,-,0,-,-,0,0,0,0%,8.69,0,0,-,-,-,-,4.14,7.58,0,-,4.9km,0,0,18,60,25,0.17
70112870,Tolga Kalender,23,75 kg,191 cm,-,TUR,Spor Toto 1. Lig,Gençlerbirliği,"€60,500 p/a",30/6/2026,D (C),-,29,"2,589",87%,0.07,0.06,4.38,0.63,0.03,13%,0.03,-,-3.9,0.14,0.45,0.14,0,1.15,87%,1.63,0.45,0.87,9.21,82%,7.58,0.66,14.77,3.79,4.8,0.03,11.2km,1.11,3.89,-,-,-,-
28121696,Mustapha Olagunju,23,70 kg,185 cm,-,ENG,Sky Bet League One,Chesterfield,"€60,500 p/a",30/6/2026,D (C),-,26,"2,518",87%,-,0.02,3.65,0.36,0.04,29%,0.07,-,-1.08,0.07,0.11,0.04,0,1.32,88%,1.39,0.25,0.93,8.51,68%,5.79,0.39,12.94,3.79,4.68,0.25,10.7km,1.47,3.47,-,-,-,-
2000025508,Aaron Keto-Diyawa,21,68 kg,172 cm,-,ENG,Sky Bet League One,Burton,"€60,500 p/a",30/6/2026,D/WB (L),-,12,"1,138",84%,-,0.04,4.27,1.34,-,9%,0.55,-,0,-,0,0,1,2.61,89%,1.19,0.08,0.4,3.72,47%,1.74,0.47,2.85,29.42,11.7,1.03,12.5km,2.61,10.12,-,-,-,-
2000223688,Rayan Atikallah,18,83 kg,186 cm,-,NED,Keuken Kampioen Divisie,AZ Alkmaar,"€60,500 p/a",30/6/2027,D (C),-,34,"2,941",85%,-,0.01,3.76,0.28,0.06,0%,0,5%,-0.44,0.15,0.18,0.04,0,1.5,91%,1.93,0.31,1.19,9.67,74%,7.16,0.46,14.41,3.76,5.05,0.06,11.2km,1.47,3.79,-,-,-,-
28027622,Adam Forshaw,33,70 kg,177 cm,-,ENG,Sky Bet League One,Exeter,"€60,500 p/a",30/6/2026,"DM, M (C)",-,40,"2,426",87%,0.15,0.25,4.12,1.48,0.56,8%,0.07,7%,-0.25,0.15,0.3,0.05,0,2,81%,0.96,0.07,0.37,4.56,42%,1.93,0.26,12.61,9.42,9.27,0.52,12.3km,2.56,9.83,-,-,-,-
2000118379,Kaelan Casey,20,82 kg,191 cm,-,ENG,Keuken Kampioen Divisie,VVV-Venlo,"€60,500 p/a",30/6/2027,D (C),-,35,"3,131",90%,0.09,0.04,3.88,0.26,0.11,25%,0.03,12%,0.97,0.09,0.2,0.03,0,1.26,92%,1.41,0.29,0.8,7.56,60%,4.57,0.46,15.46,3.42,5.61,0.09,11.4km,1.03,2.76,-,-,-,-
29217479,Lewis Simper,23,69 kg,176 cm,-,ENG,Sky Bet League One,Cambridge,"€60,500 p/a",30/6/2025,M (C),-,14,"1,583",85%,-,0.03,3.92,1.25,0.17,13%,0.06,11%,-0.11,0.23,0,0.06,0,2.22,89%,1.31,0,0.06,4.38,61%,2.67,0.45,7.79,15.29,9.55,0.74,12.8km,2.62,10.75,-,-,-,-
2000060515,Nathan Asiimwe,20,75 kg,179 cm,-,UGA,Sky Bet League One,Charlton,"€60,500 p/a",30/6/2026,"D (RL), WB (R)",D (L),35,"2,625",83%,-,0.05,3.98,1.2,0.27,9%,0.48,-,-1.01,0.03,0,0.03,0,2.61,87%,1.23,0.1,0.03,3.53,44%,1.54,0.69,9.46,13.68,14.88,1.65,13.1km,2.67,11.18,-,-,-,-
2000015912,Ayom Majok,21,70 kg,182 cm,-,SSD,Isuzu UTE A-League,Melbourne Victory,"€60,500 p/a",30/6/2027,"AM (RL), ST (C)",-,10,"1,057",82%,-,0.05,2.72,1.87,0.17,8%,0.26,19%,1.08,0.6,0.34,0.16,0,1.36,76%,1.11,0,0.09,7.15,37%,2.64,0.43,2.47,16.69,10.64,2.81,11.6km,2.72,11.58,-,-,-,-
18101822,Arno Van Keilegom,25,68 kg,177 cm,-,BEL,Keuken Kampioen Divisie,Helmond Sport,"€61,000 p/a",30/6/2026,M/AM (RC),-,21,"1,730",83%,0.1,0.05,2.03,0.99,0.1,14%,0.62,14%,1.35,0.88,0.42,0.19,0,2.29,75%,0.57,0,0,4.58,26%,1.2,0.31,5.05,21.02,14.62,3.17,12.3km,3.49,12.07,-,-,-,-
70097794,Eslem Öztürk,27,70 kg,177 cm,Damaged cruciate ligaments,TUR,Spor Toto 1. Lig,İstanbulspor,"€61,000 p/a",30/6/2026,M (C),-,14,"1,261",85%,0.07,0.13,3.35,1.43,0.29,13%,0.07,6%,-1.84,0.21,0.57,0.2,0,2,90%,1.07,0.07,0.21,3.21,38%,1.21,0.21,14.56,10.13,10.85,0.36,12.5km,2.43,11.13,-,-,-,-
70137949,Ahmet Demirli,24,68 kg,182 cm,-,TUR,Spor Toto 1. Lig,Bandırma Spor,"€61,000 p/a",30/6/2025,"AM (L), ST (C)",-,35,"2,570",88%,0.04,0.09,0.91,0.88,0.21,6%,0.07,15%,2.28,1.33,0.81,0.27,0,1.16,89%,0.56,0,0.14,9.95,25%,2.45,0.21,1.23,23.46,6.76,1.65,11.5km,1.51,7.07,-,-,-,-
29087449,Sullay Kaikai,29,73 kg,182 cm,-,SLE,Sky Bet League One,Cambridge,"€61,500 p/a",30/6/2026,"AM (LC), ST (C)",ST (C),25,"2,017",85%,0.18,0.12,0.94,0.98,0.27,4%,0.04,16%,2.54,1.2,0.45,0.24,0,0.85,73%,0.54,0,0.09,10.62,29%,3.03,0.04,1.74,18.79,5.8,0.98,11.4km,1.25,5.98,-,-,-,-
2000034294,Patrick Wood,22,73 kg,178 cm,-,AUS,Isuzu UTE A-League,Sydney FC,"€61,500 p/a",30/6/2027,ST (C),-,31,"2,540",87%,0.04,0.04,0.6,0.64,0.14,0%,0,13%,1.91,1.2,0.74,0.29,0,1.45,85%,0.57,0,0,12.65,35%,4.46,0.25,2.3,15.87,6.91,0.85,11.6km,1.74,7.3,-,-,-,-
83297511,Fabinho,24,73 kg,181 cm,-,POR,Liga Portugal 2 SABSEG,Mafra,"€61,500 p/a",30/6/2026,D (R),-,31,"2,873",86%,0.06,0.09,5.67,1.03,0.25,20%,0.38,9%,-0.77,0.41,0.66,0.18,0,1.88,79%,1.53,0.16,0.03,3.92,55%,2.16,0.97,12.84,15.57,12.88,1.63,11.9km,1.94,8.33,-,-,-,-
15085775,Ryan Teague,23,75 kg,182 cm,-,AUS,Isuzu UTE A-League,Melbourne Victory,"€62,000 p/a",30/6/2026,"DM, M (C)",-,24,"2,131",88%,0.08,0.22,4.86,0.97,0.34,17%,0.04,-,-1.7,0.13,0.38,0.07,0,2.03,80%,0.84,0.08,0.13,3.51,43%,1.52,0.38,17.1,5.57,11.7,0.8,12.9km,2.58,10.01,-,-,-,-
2000094470,Nishan Velupillay,24,73 kg,181 cm,-,AUS,Isuzu UTE A-League,Melbourne Victory,"€62,000 p/a",30/6/2026,AM (R),-,17,"1,159",87%,0.23,0.18,2.41,1.24,0.31,11%,0.47,4%,-3.4,0.47,0.39,0.34,0,2.33,83%,0.62,0,0,4.66,22%,1.01,0.16,4.19,13.74,13.05,1.86,11.9km,3.18,11.18,-,-,-,-
15009607,Luke Brattan,35,64 kg,175 cm,-,AUS,Isuzu UTE A-League,Melbourne Victory,"€62,000 p/a",30/6/2027,"DM, M (C)",-,24,"1,930",85%,0.28,0.41,4.15,1.31,0.56,11%,0.05,20%,0.95,0.09,0.09,0.05,0,1.87,70%,1.54,0,0.65,5.78,48%,2.75,0.23,15.02,5.78,8.35,0.51,11.5km,2.66,9.47,-,-,-,-
29235127,Isaac Ogundere,22,71 kg,179 cm,Pulled calf muscle,ENG,Sky Bet League One,Wimbledon,"€62,000 p/a",30/6/2027,"D (RC), WB (R)",D (C),34,"2,936",84%,-,0.04,4.9,1.56,0.06,12%,0.49,4%,-1.61,0.18,0.4,0.08,0,1.96,78%,1.87,0.09,0.61,6.87,40%,2.76,0.55,8.83,16.49,15.94,1.2,12.3km,2.15,7.36,-,-,-,-
2000268867,Rafael Mota,18,85 kg,191 cm,-,POR,Liga Portugal 2 SABSEG,Tondela,"€62,000 p/a",30/6/2026,D (C),-,23,"1,865",87%,-,0.01,2.85,0.14,-,0%,0,20%,0.27,0.1,0.05,0.04,0,0.92,68%,1.5,0.39,1.16,7.67,82%,6.27,0.48,14.53,2.99,4.68,0.1,10.6km,1.25,3.38,-,-,-,-
67269372,Juan Gutiérrez,25,78 kg,185 cm,-,ESP,Liga Portugal 2 SABSEG,Chaves,"€62,500 p/a",30/6/2027,D (C),-,18,"1,620",90%,-,0.06,3.22,0.33,-,33%,0.06,-,-1.31,0.17,0.44,0.07,0,0.89,70%,1.61,0.28,0.61,7.5,72%,5.39,0.5,14.33,4,5.78,0.11,11.3km,1.06,3.06,-,-,-,-
83223856,Filipe Maio,26,75 kg,185 cm,-,POR,Liga Portugal 2 SABSEG,Amora,"€62,500 p/a",30/6/2028,D (L),-,34,"2,959",83%,0.09,0.08,6.02,1.25,0.24,14%,0.55,-,-0.68,0,0.12,0.02,0,2.55,88%,1.06,0.06,0.73,6.69,62%,4.17,0.67,11.47,14.11,13.41,1.09,12.5km,2.34,7.94,-,-,-,-
2000117439,Owen Foster,20,82 kg,192 cm,-,ENG,Sky Bet League One,Leyton Orient,"€62,500 p/a",30/6/2027,GK,-,14,"1,129",48%,-,0,0,0,-,-,-,-,0,-,-,0,0,-,-,8.77,0,0,-,-,-,-,3.03,8.13,0,-,4.9km,0,0,8,18,8,0.24
28121655,Caleb Watts,23,73 kg,173 cm,Torn hamstring,AUS,Sky Bet League One,Exeter,"€62,500 p/a",30/6/2025,"M (C), AM (RC)",-,10,"1,343",84%,0.07,0.02,3.28,1.01,-,0%,0,-,-0.72,0,0.07,0.05,0,1.34,71%,0.8,0.13,0,4.76,17%,0.8,0.47,7.44,19.5,7.37,0.87,11.7km,2.81,10.05,-,-,-,-
2000143445,Lev Lenssen,19,65 kg,170 cm,-,NED,Keuken Kampioen Divisie,AZ Alkmaar,"€63,000 p/a",30/6/2027,"M (LC), AM (L)",-,20,"1,810",88%,0.05,0.06,2.64,0.9,0.1,14%,0.1,14%,0.51,0.35,0.3,0.07,0,1.24,81%,1.14,0,0.15,4.23,40%,1.69,0.4,9.35,17.3,6.76,1.14,11.4km,2.44,9.8,-,-,-,-
65040242,George Matlou,26,75 kg,182 cm,-,RSA,DStv Premiership,Chippa Utd,"€63,000 p/a",30/6/2026,AM (RLC),AM (R),23,"1,902",85%,0.24,0.27,1.61,0.9,0.38,6%,0.05,9%,-0.4,0.43,0.52,0.16,0,1.8,83%,0.47,0,0,4.78,28%,1.32,0.14,12.92,17.6,10.41,2.08,12.8km,2.74,9.27,-,-,-,-
2000122915,Thabang Rakwena,24,72 kg,180 cm,-,RSA,DStv Premiership,TS Galaxy,"€63,000 p/a",30/6/2025,"D (C), DM, M (C)",D/M (C),22,"1,847",86%,0.24,0.24,4.53,1.71,0.39,12%,0,-,-0.92,0.15,0.44,0.04,0,2.39,80%,1.8,0.19,0.1,3.8,49%,1.85,0.39,11.6,7.65,8.67,0.44,12.0km,3.26,9.4,-,-,-,-
92074911,Bünyamin Balat,28,71 kg,175 cm,-,GER,Spor Toto 1. Lig,Hatayspor,"€63,000 p/a",30/6/2025,AM (RC),-,12,"1,155",86%,0.23,0.27,1.87,1.01,0.47,17%,0.31,36%,5.73,0.94,0.62,0.25,0,1.17,58%,1.32,0,0,6.47,30%,1.95,0.23,12,13.64,9.58,1.09,12.2km,2.81,8.73,-,-,-,-
29063515,George Williams,32,69 kg,176 cm,-,ENG,Sky Bet League One,Mansfield,"€63,500 p/a",30/6/2026,D/WB (R),-,40,"3,423",84%,0.16,0.13,5.23,0.89,0.08,14%,0.66,-,-4.96,0.24,0.26,0.13,0,2.23,83%,1.42,0.05,0.84,7.41,76%,5.63,0.53,10.62,13.57,15.67,1.24,12.8km,2.13,7.36,-,-,-,-
83152917,Leandro Antunes,27,76 kg,183 cm,-,POR,Liga Portugal 2 SABSEG,Leiria,"€63,500 p/a",30/6/2026,"AM (L), ST (C)",-,33,"2,459",87%,0.07,0.22,0.92,0.59,0.26,17%,0.11,12%,-0.45,1.1,0.77,0.35,0,2.09,90%,0.44,0,0.07,9.88,22%,2.16,0.26,2.6,16.69,6.88,0.77,12.2km,2.34,7.25,-,-,-,-
70121841,Mahamadou Ba,25,65 kg,175 cm,-,MLI,Spor Toto 1. Lig,Altınordu,"€63,500 p/a",30/6/2026,"DM, M (C)",-,33,"2,688",85%,0.07,0.15,3.75,1.04,0.3,10%,0.07,5%,-2.1,0.2,0.3,0.1,0,2.28,83%,0.9,0,0.13,4.42,40%,1.77,0.57,12.76,9.58,9.58,1.54,12.6km,2.78,10.21,-,-,-,-
2000042589,Ivar Jenner,21,73 kg,188 cm,-,IDN,Keuken Kampioen Divisie,FC Utrecht,"€63,500 p/a",30/6/2026,M (C),-,13,"1,316",87%,0.14,0.24,4.03,1.03,0.14,11%,0.14,23%,0.9,0.27,0,0.14,0,1.98,88%,0.55,0.07,0.07,3.28,40%,1.3,0.34,10.19,12.86,9.64,1.3,12.2km,2.8,10.53,-,-,-,-
95078188,Joshua Rawlins,21,74 kg,181 cm,-,AUS,Keuken Kampioen Divisie,FC Utrecht,"€63,500 p/a",30/6/2028,"D (RC), WB (R)",-,23,"1,881",90%,0.05,0.07,4.16,0.43,-,33%,0.05,-,-1.51,0.14,0.33,0.07,0,1.1,58%,1.48,0.24,0.81,6.75,68%,4.59,0.43,10.43,3.44,5.79,0.38,11.9km,1.53,3.68,-,-,-,-
14176648,Gastón Romano,26,68 kg,176 cm,-,ARG,Liga Portugal 2 SABSEG,Belenenses,"€63,500 p/a",30/6/2026,M/AM (C),-,33,"2,674",89%,0.17,0.16,3.43,1.41,0.24,22%,0.27,6%,-1.86,0.44,0.4,0.13,0,2.15,90%,0.77,0.07,0.07,2.96,18%,0.54,0.24,13.4,13.09,9.15,1.25,11.6km,2.96,10.53,-,-,-,-
83223653,Schurrle,23,65 kg,173 cm,-,POR,Liga Portugal 2 SABSEG,Oliveirense,"€63,500 p/a",30/6/2026,M/AM (C),-,32,"2,564",87%,0.11,0.13,3.44,1.72,0.28,14%,0.14,11%,0.17,0.21,0.14,0.1,0,1.79,75%,1.02,0,0.25,4.63,33%,1.51,0.25,11.83,15.73,7.86,1.02,11.9km,3.09,10.95,-,-,-,-
65041552,Bongi Makume,29,72 kg,175 cm,-,RSA,DStv Premiership,TS Galaxy,"€63,500 p/a",30/6/2026,D (C),-,28,"2,199",82%,-,0.07,3.11,0.25,0.04,11%,0,-,-0.82,0.12,0.16,0.03,1,0.45,61%,1.64,0.04,0.53,7.61,66%,4.99,0.86,10.56,4.54,5.53,0.08,11.5km,0.65,2.7,-,-,-,-
28116391,Joe Anderson,24,76 kg,189 cm,-,ENG,Sky Bet League One,Stockport,"€63,500 p/a",30/6/2026,D (LC),D (L),42,"3,723",85%,-,0.05,4.01,0.48,0.12,18%,0.05,8%,-0.35,0.07,0.1,0.03,0,1.33,86%,1.55,0.24,0.85,8.2,58%,4.74,0.46,17.24,2.88,4.79,0.05,10.7km,1.4,3.51,-,-,-,-
70021340,Musa Çağıran,32,81 kg,180 cm,-,TUR,Spor Toto 1. Lig,Gençlerbirliği,"€64,000 p/a",30/6/2026,"DM, M (C)",-,34,"2,279",89%,0.08,0.07,4.27,1.38,0.16,4%,0.04,-,-1.27,0.08,0.28,0.05,0,1.94,72%,1.62,0,0.2,3.99,49%,1.94,0.32,9.87,8.61,9.44,0.59,12.2km,2.65,9.56,-,-,-,-
55063744,João Afonso,34,80 kg,188 cm,-,POR,Liga Portugal 2 SABSEG,Torreense,"€64,000 p/a",30/6/2025,D (C),-,23,"2,234",85%,-,0.05,3.83,0.16,0.08,33%,0.04,-,-1.38,0.08,0.16,0.06,0,0.89,79%,0.81,0.16,1.01,8.74,66%,5.8,0.48,15.15,3.1,4.71,-,10.8km,0.89,2.9,-,-,-,-
37061974,Jan de Boer,24,85 kg,202 cm,-,NED,Keuken Kampioen Divisie,VVV-Venlo,"€64,000 p/a",30/6/2027,GK,-,38,"3,364",68%,-,0,0,0.03,-,-,-,-,0,-,-,0,0,0,0%,7.28,0,0,-,-,-,-,3.13,6.26,0,-,5.6km,0,0,17,51,21,0.16
70111794,Zahit Çınar,28,70 kg,181 cm,-,TUR,Spor Toto 1. Lig,Tuzlaspor,"€64,000 p/a",30/6/2027,D/WB (R),-,34,"2,908",84%,0.15,0.1,5.73,1.18,0.06,12%,0.53,9%,-0.83,0.25,0.59,0.18,0,1.95,73%,1.49,0.06,0.5,7.21,63%,4.52,0.74,10.24,14.3,14.55,1.7,12.5km,2.14,7.58,-,-,-,-
29222290,Gadiel Mbaga,28,71 kg,175 cm,-,TAN,DStv Premiership,Cape Town Spurs,"€64,000 p/a",30/6/2026,D/WB (L),WB (L),29,"2,470",83%,0.11,0.12,5.72,1.2,0.18,14%,0.95,-,-0.3,0.07,0.15,0.01,0,2.4,90%,1.2,0.11,0.66,6.16,56%,3.46,0.62,14.65,13.52,14.25,0.84,12.4km,2.37,7.83,-,-,-,-
2000243635,Ousmane Diao,20,79 kg,187 cm,-,SEN,Liga Portugal 2 SABSEG,Mafra,"€64,000 p/a",30/6/2027,D (C),-,34,"2,848",90%,-,0.05,4.58,0.25,0.09,50%,0.06,11%,0.13,0.09,0.09,0.03,0,1.23,67%,1.55,0.35,0.73,7.11,75%,5.34,0.35,18.46,2.69,4.52,0.25,10.7km,1.52,3.63,-,-,-,-
2000093083,Ethan Alagich,20,72 kg,178 cm,-,AUS,Isuzu UTE A-League,Adelaide United,"€64,500 p/a",30/6/2027,"DM, M/AM (C)",-,36,"3,128",90%,0.14,0.18,3.65,0.95,0.2,9%,0.03,8%,-0.77,0.09,0.17,0.08,0,1.38,84%,1.32,0.09,0.12,3.63,53%,1.93,0.4,14.04,5.29,9.58,0.81,12.7km,1.93,9.75,-,-,-,-
65002635,Reyaad Pieterse,33,86 kg,198 cm,-,RSA,DStv Premiership,Stellenbosch FC,"€64,500 p/a",30/6/2026,GK,-,29,"2,607",64%,-,0,0,0,-,-,-,-,0,-,-,0,1,0.07,67%,6.56,0,0,-,-,-,-,6.35,6.59,0,-,6.1km,0,0,14,55,24,0.44
2000143440,Jeremiah Esajas,19,70 kg,176 cm,Pulled ankle ligaments,NED,Keuken Kampioen Divisie,ADO Den Haag,"€64,500 p/a",30/6/2027,D/WB (L),-,32,"2,826",86%,0.03,0.05,5.29,0.89,0.06,17%,0.45,-,-0.66,0.03,0.1,0.02,0,2.52,81%,1.11,0.06,0.13,3.5,58%,2.04,0.83,10.54,14.2,14.75,1.15,13.0km,2.55,8.06,-,-,-,-
92062252,Arianit Ferati,27,70 kg,168 cm,-,ALB,Keuken Kampioen Divisie,Groningen,"€64,500 p/a",30/6/2027,"M (R), AM (RC)",-,32,"2,162",81%,0.25,0.25,3.83,1.71,0.46,12%,0.29,10%,0.14,0.29,0.12,0.08,0,2.21,84%,0.92,0.17,0,4.33,23%,1,0.33,4.95,12.99,12.65,4.04,12.6km,3.5,10.66,-,-,-,-
48043652,Théo Fonseca,24,75 kg,178 cm,-,POR,Liga Portugal 2 SABSEG,Paços de Ferreira,"€64,500 p/a",30/6/2027,ST (C),-,34,"2,857",86%,0.19,0.14,0.85,0.82,0.22,16%,0.09,9%,-2.87,0.85,0.66,0.34,0,1.51,91%,0.25,0.03,0.06,9.32,27%,2.55,0.13,2.27,19.56,6.27,0.91,11.5km,1.89,7.5,-,-,-,-
70086541,Hasan Hüseyin Akınay,31,78 kg,182 cm,-,TUR,Spor Toto 1. Lig,Çorum FK,"€64,500 p/a",30/6/2027,GK,-,24,"2,227",53%,-,0,0,0.04,-,-,-,-,0,-,-,0,0,0.04,33%,10.02,0,0,-,-,-,-,3.11,7.11,0,-,5.3km,0,0,16,33,17,0.21
12081921,Anicet Oura,25,69 kg,185 cm,-,CIV,DStv Premiership,Stellenbosch FC,"€64,500 p/a",30/6/2025,"AM (L), ST (C)",-,10,"1,409",85%,0.06,0.15,0.83,0.77,0.38,19%,0.13,17%,2.36,1.53,0.96,0.36,0,0.96,83%,0.38,0,0.13,11.05,46%,5.11,0.19,3.13,12.9,4.92,1.28,11.5km,1.79,6.26,-,-,-,-
2000092294,Jacob Farrell,22,73 kg,180 cm,-,AUS,Isuzu UTE A-League,CC Mariners,"€64,500 p/a",30/6/2025,D (L),-,26,"2,064",91%,0.17,0.12,5.84,1,0.13,14%,0.35,-,-1.23,0.04,0.09,0.05,0,2.92,77%,0.96,0.13,0.26,4.53,57%,2.57,0.74,14.96,11.16,17.27,1.05,12.6km,2.31,8.94,-,-,-,-
37064721,Achraf el Bouchataoui,25,72 kg,179 cm,-,NED,Keuken Kampioen Divisie,FC Eindhoven,"€65,000 p/a",30/6/2025,"DM, M (C)",-,21,"1,927",88%,0.14,0.19,3.36,1.4,0.28,29%,0.28,6%,-0.55,0.51,0.56,0.12,0,1.91,79%,1.31,0.05,0.05,5.09,49%,2.48,0.51,10.88,12.61,8.83,1.03,12.1km,3.18,10.79,-,-,-,-
37071198,Enrico Hernández,24,67 kg,179 cm,-,SLV,Keuken Kampioen Divisie,TOP Oss,"€65,000 p/a",30/6/2025,AM (RLC),-,34,"2,424",84%,-,0.1,2.3,1.45,0.19,19%,0.41,9%,-0.88,0.67,0.59,0.18,0,1.52,66%,1.04,0.07,0.04,5.24,32%,1.67,0.45,6.35,17.3,13.25,1.78,13.2km,2.86,11.58,-,-,-,-
37064749,Joshua Zimmerman,23,69 kg,175 cm,-,CUW,Keuken Kampioen Divisie,TOP Oss,"€65,000 p/a",30/6/2025,AM (RL),-,14,"1,241",84%,-,0.03,2.97,2.18,0.07,19%,0.87,11%,0.09,0.8,0.44,0.14,0,1.6,85%,0.87,0,0,5.95,24%,1.45,0.44,3.05,18.78,10.37,2.68,12.2km,2.32,11.39,-,-,-,-
18058552,Jorn Brondeel,31,82 kg,188 cm,-,BEL,Keuken Kampioen Divisie,FC Eindhoven,"€65,000 p/a",30/6/2026,GK,-,39,"3,510",45%,-,0,0,0,-,-,-,-,0,-,-,0,1,0,0%,8.33,0,0,-,-,-,-,4.87,6.69,0,-,5.4km,0,0,20,62,36,0.2
83111591,João Queirós,27,84 kg,192 cm,-,POR,Liga Portugal 2 SABSEG,Mafra,"€65,000 p/a",30/6/2026,D (C),-,22,"2,062",90%,0.04,0.05,4.06,0.35,0.17,0%,0,7%,-1.75,0.13,0.26,0.12,1,1.22,70%,1.79,0.35,0.79,6.85,69%,4.71,0.61,17.42,3.36,5.46,0.13,11.3km,1.44,3.19,-,-,-,-
36148878,Fivos Botos,24,74 kg,173 cm,-,GRE,Keuken Kampioen Divisie,Helmond Sport,"€65,000 p/a",30/6/2025,"M (L), AM (LC)",-,38,"2,998",82%,0.03,0.22,2.19,1.29,0.3,17%,0.75,11%,-0.3,0.75,0.63,0.22,0,2.19,77%,1.02,0.06,0.03,5.07,16%,0.81,0.39,5.7,16.99,14.44,2.46,12.0km,3.45,13.45,-,-,-,-
