name,uid,pressures,tackleRating,posessionWonPer90,ballRetention,progressivePassesPer90,keyPasses,passesPercent,badges,ratingScores
Leandro Figueredo,14250633,10.59,86.05,99.77,92.21,43.56,30.46,6.9,,{}
Marc Bernal,2000295603,50.09,99.72,76.63,56.3,97.06,81.76,36.99,,{}
Juan Macías,2000116828,31.76,32.84,13.06,12.36,9.65,32.04,36.99,,{}
Harvey Vale,2000016607,70.2,50.7,90.3,57.42,24.95,9,36.99,,{}
Sotiris Alexandropoulos,36141840,82.28,69.96,62.64,45.71,19.4,32.04,65.53,,{}
Yannik Engelhardt,91194484,93.38,12.27,80.13,73.46,47.39,73.6,29.38,,{}
Isaac Price,2000027031,5.83,28.17,5.27,40.72,5.46,19.03,6.9,,{}
Oussama Targhalline,2000045698,41.42,7,37.17,46.92,64.46,44.92,65.53,,{}
Leopold Querfeld,16337125,19.59,5.27,93.52,89.04,39.65,5.83,55.55,,{}
Chumi,95036003,23.13,64.18,88.9,97.06,43.56,9,94.4,,{}
Maximilian Eggestein,91126294,85.12,32.84,37.87,52.99,67.12,36.47,83.96,,{}
Maxim Mukhin,58152224,78.17,69.96,50.93,71.08,87.13,52.61,83.96,anchor,{"anchor":81}
Josh Dasilva,28106685,80.69,28.17,47.81,50.33,61.47,64.04,75.7,,{}
Sérgio Monteiro Dutra,2002119851,28.03,32.84,72.76,84.47,75,42.26,89.74,anchor,{"anchor":83}
Supachok Sarachat,23328907,9.1,44.22,5.18,36.89,5.83,26.12,3.03,,{}
Raùl König,2000196494,65.67,7,11.75,6.16,11.29,35.07,8.63,,{}
Ibrahim Sulemana,2000205565,36.94,28.17,27.57,33.58,62.5,33.77,83.96,,{}
Raúl Rincón,2002133123,74.39,86.05,27.57,37.64,92.4,98.65,75.7,,{}
Felipe Loyola,75050238,30.83,12.27,80.46,77.71,28.36,22.48,29.38,,{}
Fabio Chiarodia,2000116422,8.58,79.29,95.85,98.18,42.02,9,89.74,,{}
Alex Boyd,2002123295,53.87,64.18,22.71,25.61,12.22,43.47,45.76,,{}
Jayson Molumby,29156202,44.96,2.71,54.38,57.23,83.72,46.92,65.53,,{}
Emanuel Aiwu,16191306,20.52,18.98,94.03,92.4,41.7,7.56,55.55,,{}
Hong Hyun-Seok,66042120,8.82,75.09,7.74,66.65,5.08,16.84,6.25,,{}
Kamal Sowah,13183090,30.64,64.18,6.81,16.18,10.82,35.59,7.56,,{}
Jonathan Borja,2002120340,84.56,90.81,50.65,49.39,38.53,62.17,55.55,,{}
Jurgen Ekkelenkamp,37064578,36.24,38.15,45.43,57.98,32.14,66.51,22.67,,{}
Kofi Balmer,52085051,38.48,79.29,59.89,73.23,31.48,19.03,75.7,,{}
Arnoldo Quintão,2002152703,61.01,64.18,66.84,62.08,84.75,75.28,65.53,,{}
Antonio Foti,2000057844,49.35,5.27,29.38,22.15,41.37,82.93,36.99,,{}
Matteo Gabbia,43266774,7.51,96.83,84.19,95.29,76.26,9.84,97.99,anchor,{"anchor":90}
Samuele di Benedetto,2000147150,57.28,28.17,32.84,30.55,86.66,74.77,75.7,,{}
Elmar Guðlaugsson,2002074496,73.23,12.27,15.81,12.83,23.79,99.67,36.99,,{}
Maxim Ramazanov,2002122909,52.38,57.65,66.56,69.92,91,67.21,55.55,,{}
Ethan Nwaneri,2000283271,78.45,44.22,33.49,15.53,58.02,84.19,29.38,,{}
Andrei Cordea,57149755,79.15,38.15,38.34,8.54,30.88,70.48,8.63,,{}
Ramiro Ruiz Rodríguez,14212884,67.91,90.81,41.18,20.99,42.44,73.04,13.15,,{}
Darian Maleš,84153469,89.18,0.28,54.06,19.26,29.38,47.67,17.3,,{}
Beñat Turrientes,67276474,39.55,12.27,38.85,38.62,62.31,43.47,45.76,,{}
Brian Bjerregaard,2000197070,18.05,38.15,88.2,89.23,80.83,18.33,75.7,anchor,{"anchor":82}
Osvaldo Vilches,2002121393,92.3,50.7,82.56,43.38,38.53,77.1,13.15,,{}
Đorđe Savić,2002103128,24.39,23.27,93.7,93.33,94.54,24.67,94.4,anchor,{"anchor":94}
Gustavo Gomes,2000256293,99.44,23.27,76.03,32.6,85.21,91.28,13.15,,{}
Han-Noah Massengo,49047253,74.39,23.27,51.96,48.27,35.73,53.96,65.53,,{}
Luka Vrbančić,2000130512,73.79,79.29,38.48,21.78,10.31,46.27,13.15,,{}
Merlin Röhl,91204520,59.33,32.84,85.17,71.5,19.4,32.04,29.38,,{}
Tommy St. Jago,37064140,13.99,44.22,81.39,89.51,84.61,5.32,89.74,anchor,{"anchor":88}
Kasper Jensen,2002162303,69.82,50.7,34.89,37.83,52.05,81.39,65.53,,{}
Tygo Land,2000088444,83.21,7,55.32,36.99,77.52,57.14,55.55,,{}
Samú,83206392,38.01,12.27,48.23,64.04,78.87,65.81,65.53,,{}
Pedro Díaz,67220203,41.65,2.71,30.64,17.4,30.5,41.42,13.15,,{}
Benjamin Nygren,93104332,38.85,8.96,7.51,11.75,9.1,42.26,29.38,,{}
Benjamín Ocampo,2002136170,97.34,82.93,33.02,6.3,26.4,95.34,22.67,,{}
David Martínez,2000143321,84.1,97.34,18.8,3.78,49.81,22.01,22.67,,{}
Ferney Lobatón,2002122832,43.84,23.27,61.47,42.07,27.94,69.68,36.99,,{}
Paxten Aaronson,2000037579,90.44,5.27,21.5,6.86,24.39,49.07,17.3,,{}
Gianluca Busio,72049787,63.29,28.17,51.96,33.86,35.54,65.21,45.76,,{}
Angelo Stiller,91184426,69.31,32.84,67.07,68.05,58.82,92.68,65.53,,{}
Arnau Puigmal,28116557,93.8,12.27,73.97,48.79,83.35,57.14,29.38,,{}
John Carlos Torijano,2002128828,64.88,75.09,57.79,43.05,69.68,53.96,55.55,,{}
Joan González,2000058425,98.13,38.15,73.23,60.31,70.06,74.11,29.38,,{}
Gabriel Moscardo,2000208439,52.38,75.09,92.77,86.94,54.99,44.92,36.99,,{}
Luca Cossu,2002073880,92.3,75.09,29.06,2.75,26.03,92.68,29.38,,{}
Oussama El Azzouzi,37076232,19.12,97.34,38.15,77.38,12.92,29.48,17.3,,{}
Rodrigo Mora,2000265865,92.07,94.31,19.36,8.63,35.35,77.89,29.38,,{}
Elías Cabrera,14222117,95.48,28.17,50.09,28.4,80.04,93.38,45.76,,{}
Jordan Thompson,2002073603,46.6,69.96,24.63,14.69,18.52,39.09,10.35,,{}
Konstantin Malsagov,2002142981,35.35,23.27,57.23,66.74,54.52,32.04,55.55,,{}
Žan Jevšenak,83320134,74.39,38.15,64.97,60.31,39.37,39.6,45.76,,{}
Sebastian Walukiewicz,96105337,12.55,28.17,75.7,88.2,51.07,4.85,89.74,,{}
Bećir Omeragić,98046083,6.76,96.22,77.52,89.41,12.36,9,65.53,,{}
Senne Lynen,18096574,1.49,96.22,1.4,52.99,1.45,1.63,2.52,,{}
Lee Han-Beom,2000082779,50.65,79.29,93.1,93.14,90.53,16.42,83.96,anchor,{"anchor":89}
Ilias Akhomach,2000056415,46.78,32.84,17.07,2.38,24.58,72.29,22.67,,{}
Renan,19360964,23.32,82.93,84.56,87.64,96.69,24.67,94.4,anchor,{"anchor":93}
Martinelli,19406135,88.62,64.18,72.99,44.17,89.97,89.13,55.55,,{}
Unai Vencedor,67260207,81.44,15.95,42.77,42.26,88.48,95.15,55.55,,{}
Bernardo Folha,83261132,97.53,8.96,72.48,52.99,87.92,89.46,45.76,,{}
Bence Dárdai,2000215183,91.04,23.27,75.14,42.07,73.23,77.89,29.38,,{}
Martin Smetana,28128177,81.95,3.96,57.09,34.1,47.15,69.68,45.76,,{}
Flynn Downes,29156436,50.65,57.65,62.73,58.16,72.53,74.11,36.99,,{}
Isak Hansen-Aarøen,2000010819,98.37,50.7,19.08,2.85,21.46,61.33,29.38,,{}
Sidney Raebiger,2000101495,74.95,69.96,78.08,44.08,72.95,71.32,55.55,,{}
Andrey Santos,2000007415,81.95,75.09,37.5,29.85,98.09,68.8,55.55,,{}
Richard Ríos,19391095,78.17,44.22,83.72,51.07,69.68,65.81,45.76,,{}
Ferdi Çolak,2002072713,13.99,32.84,85.82,95.94,50.56,27.01,94.4,,{}
Beraldo,2000094252,8.35,92.63,63.01,84.19,73.93,36.47,89.74,anchor,{"anchor":83}
Ian Maatsen,28121372,59.33,88.81,96.5,83.82,41.7,51.21,45.76,,{}
Marc Aguado,67258846,38.29,18.98,43,49.21,34.65,32.04,29.38,,{}
Onurhan Babuşcu,16283560,30.64,38.15,8.54,24.49,4.34,19.03,29.38,,{}
Gonçalo Franco,83282937,68.61,32.84,49.16,39.79,58.02,75.65,65.53,,{}
Serkan Arslan,2000059168,46.27,23.27,71.5,75.79,81.16,78.78,83.96,deep playmaker;anchor,{"deep playmaker":79;"anchor":80}
Artem Karpukas,2000082337,52.38,50.7,68.42,82.32,75.65,37.08,75.7,anchor,{"anchor":78}
Shimpei Fukuoka,45111294,56.81,50.7,53.64,72.53,66.18,29.48,75.7,,{}
Baltasar Barcia,2000090753,33.26,44.22,89.93,57.42,89.97,87.03,75.7,,{}
Giannis Psycharis,2002144212,5.83,57.65,93.24,99.44,21.46,15.9,36.99,,{}
Dion Lopy,12079003,39.55,44.22,54.38,52.99,44.78,42.26,55.55,,{}
Keito Nakamura,45108807,87.36,44.22,60.63,19.82,12.45,37.73,8.63,,{}
Dan Neil,29218480,64.32,23.27,35.31,38.2,80.27,59.14,65.53,,{}
Néider Bahoque,2000190931,41.65,50.7,37.5,78.31,78.17,40.16,94.4,anchor,{"anchor":84}
Valentin Antov,22067326,6.34,57.65,63.29,84.84,46.04,5.83,94.4,,{}
Telasco Segovia,86080119,57.84,75.09,41.18,45.94,74.39,52.61,75.7,,{}
Luca Kilian,91172547,24.39,69.96,66.32,77.47,91.56,9,89.74,anchor,{"anchor":86}
Marcel Ratnik,62248917,14.37,79.29,79.43,91.84,60.12,6.25,94.4,,{}
Paul Nebel,91188358,56.81,32.84,20.43,7.14,14.79,49.72,13.15,,{}
Richie Webber,2002072415,69.82,3.96,31.86,23.74,33.63,34.42,13.15,,{}
Luka Parkadze,2000169191,35.35,38.15,26.17,3.96,11.8,43.47,45.76,,{}
Callum Doyle,2000102065,86.99,8.96,69.92,24.77,45.24,31.11,13.15,,{}
Márton Dárdai,91188481,30.36,12.27,27.8,56.58,84.1,39.09,89.74,,{}
Facundo Lencioni,2000091830,49.35,92.63,16.84,6.67,27.61,77.89,55.55,,{}
Gianluca Prestianni,2000104173,88.85,32.84,20.94,6.16,17.72,82.46,22.67,,{}
Rolando Gallego,2002074433,66.23,32.84,66.32,65.72,67.44,67.86,55.55,,{}
Eliano Reijnders,37076385,54.43,57.65,56.48,32.23,21.78,59.75,55.55,,{}
Christopher Scott,92097822,23.32,86.05,25.93,30.04,28.36,31.11,10.35,,{}
Pau Cubarsí,2000296497,15.3,50.7,93.33,97.53,98.65,21.18,97.99,anchor,{"anchor":98}
Roberto Martínez,2002143751,39.55,64.18,22.48,16.28,42.02,87.5,45.76,,{}
David Pereira Da Costa,49054412,67.3,57.65,42.77,11.05,17.07,27.01,17.3,,{}
Jorge Luís,2002170897,77.71,69.96,88.76,69.36,97.9,86.15,45.76,,{}
Majeed Ashimeru,13197577,21.18,69.96,40.53,45.48,14.55,49.72,10.35,,{}
Fernando Gómez,2002074335,78.45,79.29,17.86,33.72,96.97,77.89,83.96,,{}
Justin Hoogma,37059335,4.43,98.65,5.92,72.43,7.6,3.5,17.3,,{}
Abdou Harroui,37064635,39.18,8.96,38.62,61.47,58.44,13.85,89.74,,{}
Mattes Hansen,2000065866,64.32,57.65,87.17,83.16,47.71,49.72,36.99,,{}
Alfie Devine,2000050627,65.67,50.7,31.11,33.02,17.96,62.73,65.53,,{}
Rubens,19367258,93.38,12.27,52.99,46.13,71.92,82.04,55.55,,{}
Carlos Alexandre,2002119897,96.83,57.65,74.77,45.01,72.76,94.78,13.15,,{}
Enzo Roldán,14201371,80.13,95.34,19.08,11.24,37.69,84.61,75.7,,{}
Alex Robertson,28126240,71.83,44.22,41.18,36.24,19.17,94.03,22.67,,{}
Arnau Comas,67258409,18.14,8.96,91.09,94.59,70.06,20.71,94.4,anchor,{"anchor":86}
Beñat Prados,67277835,34.1,75.09,31.3,63.57,29.38,23.65,65.53,,{}
Renato Veiga,83320123,38.85,64.18,65.35,37.08,45.01,47.67,89.74,,{}
Emanuel Vignato,43296186,24.86,99.72,6.58,5.27,7.23,28.22,55.55,,{}
Brendan Dixon,2002074969,23.69,86.05,75.7,86.52,65.07,15.02,94.4,,{}
Andrea Cambiaso,43339195,53.87,86.05,97.71,86.33,83.35,46.92,36.99,,{}
Jamie Donley,2000123638,25.56,28.17,10.21,19.17,10.45,34.42,17.3,,{}
Paul Okon,2000155676,94.73,28.17,82.56,81.86,55.55,54.57,45.76,,{}
Brajan Gruda,2000180822,84.1,57.65,40.25,1.73,39.04,67.86,5.46,,{}
Samuel Penksa,2000205923,66.7,98.65,12.08,10.59,35.96,91.56,29.38,,{}
Ezechiel Banzuzi,2000144508,1.49,69.96,1.4,52.99,1.45,1.63,0.19,,{}
Ricardo Pereira,2000170574,46.78,57.65,34.14,56.76,68.94,48.41,75.7,,{}
Caetano Arantes Costa,2002119992,60.17,50.7,60.87,35.31,93.14,94.5,29.38,,{}
Florian Flick,2000025214,52.71,12.27,81.2,78.13,30.88,49.72,45.76,,{}
John Andreas Kalset Midthaug,2002122869,68.61,1.73,44.73,34.84,69.45,90.39,36.99,,{}
Daniel Tal-Dan,2002133170,31.62,38.15,40.25,61.47,73.23,74.77,75.7,,{}
Koni De Winter,18108550,4.1,94.31,54.15,96.04,18.8,3.82,75.7,,{}
Ronnie Edwards,29243820,8.58,8.96,98.09,99.77,93.98,21.6,94.4,anchor,{"anchor":96}
Nermin Karic,93065012,22.01,23.27,18.8,46.13,63.39,38.43,55.55,,{}
Gonzalo Abrego,14243663,81.95,44.22,38.34,38.39,22.39,59.75,55.55,,{}
Warmed Omari,49037825,6.95,38.15,71.32,86.75,67.44,15.02,94.4,,{}
Manu Bueno,2000187407,96.69,28.17,78.26,46.92,92.77,89.93,29.38,,{}
Shawn Adewoye,18101866,46.27,75.09,95.76,94.87,50.56,10.73,83.96,,{}
Stanley Nsoki,48043092,18.24,79.29,56.81,71.08,34.1,15.9,29.38,,{}
Jacob Christensen,27137333,38.01,23.27,30.46,43.94,63.9,46.92,65.53,,{}
Georgi Tunjov,47070304,43.84,5.27,47.2,51.17,31.11,36.47,36.99,,{}
Sanoussy Maïga,2002075001,94.87,28.17,86.29,70.9,52.66,37.73,36.99,,{}
Malo Gusto,49056280,61.75,57.65,87.87,40.07,78.5,85.17,55.55,,{}
Robert,2002119878,83.58,38.15,44.17,7.88,33.63,73.6,10.35,,{}
Jean Hugonet,49056691,9.1,50.7,73.23,87.08,15.63,6.81,55.55,,{}
Azamat Artisbek uulu,2002125074,49.35,69.96,74.21,79.71,17.26,22.01,65.53,,{}
Bruno Zapelli,14221545,57.28,38.15,19.08,7.98,58.02,96.18,65.53,,{}
Denilson,19354891,37.64,50.7,16.46,38.95,37.5,96.41,65.53,,{}
Sofian Kiyine,18089278,3.22,79.29,3.22,34.56,3.5,7.56,3.36,,{}
Vitor,2002131779,14.37,88.81,92.21,96.32,91.56,23.65,94.4,anchor,{"anchor":94}
Jens Castrop,91193050,76.31,38.15,63.29,50.84,53.4,84.61,65.53,,{}
Roberto López,67272882,59.33,28.17,12.55,9.7,31.3,59.14,36.99,,{}
Ludovit Reis,37069474,74.95,8.96,26.17,50.14,84.1,55.97,89.74,,{}
Shinya Mine,2002073810,48.88,23.27,70.94,69.59,98.93,66.51,83.96,,{}
Yulian Nikiforov,2000266441,86.66,92.63,60.63,50.84,63.15,77.1,65.53,,{}
Jan Žambůrek,29217261,1.49,57.65,1.4,52.99,1.45,1.63,3.64,,{}
Daan Heymans,18100784,1.49,82.93,1.4,52.99,1.45,1.63,0.79,,{}
Alexsander,2000084501,43.42,1.73,22.99,39.13,44.03,44.92,89.74,,{}
Tim Oermann,2000070513,22.29,28.17,83.54,84,36.71,18.33,55.55,,{}
Julián Aude,14223129,42.91,82.93,92.91,72.81,79.38,32.04,75.7,anchor,{"anchor":76}
Miroslav Ivanov,2000144679,48.6,8.96,64.27,60.96,51.59,28.92,65.53,,{}
William Balikwisha,18108548,1.49,95.34,1.4,52.99,1.45,1.63,0.33,,{}
Mohamed Kaba,49061282,54.43,32.84,78.82,65.25,53.4,63.25,45.76,,{}
Muhammed Damar,2000146258,51.73,15.95,45.43,13.01,13.25,73.04,7.56,,{}
Lucas,2002120846,45.24,92.63,72.48,69.59,92.02,98.83,75.7,,{}
Tom Lacoux,49048682,49.72,64.18,58.21,76.07,91.28,36.47,89.74,anchor,{"anchor":86}
Dário Essugo,2000087400,82.7,44.22,96.6,83.91,47.85,76.31,45.76,,{}
Ahmed Saad,2002126864,83.21,57.65,53.26,44.45,14.04,24.21,55.55,,{}
Gustavo Puerta,2000102619,36.94,79.29,12.78,28.31,61.71,67.86,75.7,,{}
Boy Kemper,37063646,67.3,69.96,97.81,85.91,91.79,44.92,45.76,,{}
Agustín Almendra,14180898,62.64,57.65,43.28,24.39,92.96,59.75,65.53,,{}
Serginho,83224027,70.2,57.65,28.68,37.45,70.99,40.16,65.53,,{}
Santiago Simón,14223204,61.01,12.27,48.55,31.86,59.75,98.09,29.38,,{}
Anders Dreyer,27111934,32.65,86.05,11.01,18.98,16.14,36.01,5.46,,{}
Esa Laurila,2002131703,80.41,92.63,42.12,14.97,55.55,79.48,17.3,,{}
Silvano Vos,2000046151,71.27,44.22,68.42,66.09,71.92,72.62,75.7,,{}
Aarón Molinas,14201370,32.28,0.7,6.11,6.95,40.35,73.6,29.38,,{}
Hugo Félix,83335589,40.63,44.22,13.48,8.91,15.39,46.27,22.67,,{}
Nicolás Castro,14204634,17.35,12.27,42.35,26.77,8.12,28.22,7.56,,{}
Myles Lewis-Skelly,2000283274,77.71,32.84,58.91,41.32,33.21,59.14,22.67,,{}
Manuel Duarte,2000094562,75.84,79.29,11.19,3.08,13.48,98.74,7.56,,{}
Sem Steijn,37066573,99.3,64.18,27.8,17.3,52.99,37.73,55.55,,{}
Ciro Armoa,2000206598,61.75,1.73,9.28,9.47,17.07,58.26,22.67,,{}
Laurin Ulrich,2001040995,60.17,64.18,23.09,14.13,9.28,75.65,22.67,,{}
Mateo Tanlongo,14237116,55.46,57.65,21.97,21.32,59.56,89.13,75.7,,{}
Samuel Oum Gouet,13177223,1.49,99.25,1.4,52.99,1.45,1.63,1.45,,{}
Moisés Mosquera,2000028404,13.99,92.63,82.04,92.86,77.29,13.85,97.99,anchor,{"anchor":89}
Joan Major,2002074523,26.07,18.98,71.64,78.5,70.99,72.62,65.53,deep playmaker,{"deep playmaker":74}
Fedde de Jong,37084339,44.73,57.65,41.74,24.86,37.69,55.27,29.38,,{}
Jorne Spileers,2000091517,1.49,99.39,1.4,52.99,1.45,1.63,3.03,,{}
Ken Runco,2002152577,84.56,38.15,14.27,0.89,53.4,81.02,22.67,,{}
Ramon Hendriks,37065561,34.98,86.05,89.23,88.39,75.84,28.22,75.7,anchor,{"anchor":80}
Carlos Garcés,2000151103,21.5,64.18,87.5,79.24,73.55,16.42,22.67,,{}
Arne Engels,18111494,74.95,96.22,84.56,56.9,33.63,25.14,45.76,destroyer,{"destroyer":85}
Luca Oyen,18111195,1.49,92.63,1.4,52.99,1.45,1.63,0.05,,{}
Matías Gómez,2000243660,85.12,50.7,18.1,25.98,97.62,74.77,94.4,,{}
Javier Ruiz,2000247568,47.67,23.27,24.11,19.5,25.51,69.68,17.3,,{}
Ismaël Doukouré,2000016808,17.77,79.29,93.1,91.56,85.07,25.14,89.74,anchor,{"anchor":89}
Fedde Leysen,18111492,1.49,97.95,2.85,56.02,2.94,1.63,4.01,,{}
Agustín Toledo,14229661,56.3,23.27,56.48,57.7,95.29,78.78,65.53,,{}
Miguel Moreno,2002124295,73.23,75.09,65.9,62.73,92.86,42.72,65.53,,{}
Madi Monamay,2000173959,13.43,7,77.71,91.74,63.9,20.15,97.99,,{}
Jenson Seelt,37084995,22.29,94.31,99.02,97.34,51.77,21.6,75.7,,{}
Danilo Pistis,2002075048,80.41,64.18,54.71,43.24,57.6,74.77,45.76,,{}
Matchoi Djaló,83297506,82.7,50.7,20.62,5.64,20.34,64.04,36.99,,{}
Matteo Prati,2000021281,54.99,18.98,83.4,78.87,52.24,57.14,22.67,,{}
Frank Boya,13177287,3.03,99.72,2.94,54.99,3.03,1.63,0.42,,{}
Jarne Steuckers,18115871,99.67,82.93,29.38,20.85,65.07,41.42,65.53,,{}
Felipe Amaral,19408947,62.22,82.93,23.18,38.01,94.96,95.34,65.53,,{}
Martín Campos,2000085261,90.44,7,31.86,9.84,86.15,74.77,29.38,,{}
Luan Patrick,19369124,10.59,69.96,85.68,90.76,62.31,15.9,65.53,,{}
Alexis Trouillet,49039032,85.12,38.15,68.7,29.06,52.24,53.31,36.99,,{}
Matías González,14244919,56.3,8.96,65.9,28.22,95.66,88.34,55.55,,{}
Filippo Grassi,2002075420,88.29,44.22,21.5,29.71,56.39,96.97,45.76,,{}
Franjo Ivanović,2000068412,45.71,44.22,11.61,18.89,8.58,63.25,29.38,,{}
Eloi Fàbregas,2002104771,53.45,8.96,26.63,20.99,42.91,80.5,45.76,,{}
Jonathan Varane,49054406,86.19,18.98,57.32,60.77,77.94,57.14,55.55,,{}
Rodrigo Herrera,14229897,30.36,69.96,30.32,62.59,84.1,27.01,89.74,,{}
Facundo Rodríguez,2002136198,55.46,15.95,44.92,34.65,27.33,69.68,36.99,,{}
Matías Galarza,14253397,10.82,90.81,7.88,60.12,4.8,20.15,5.46,,{}
Ezequiel Bullaude,14207820,87.59,38.15,63.29,31.67,10.96,33.07,10.35,,{}
Franco Watson,14224724,63.29,57.65,23.65,7.42,64.46,98.27,17.3,,{}
Lasse Sørensen,27119378,90.86,69.96,84.84,47.9,32.14,30.46,36.99,,{}
César Augusto,2002119956,46.78,28.17,10.82,14.51,16.93,24.21,29.38,,{}
Nuno Lima,2000013437,21.18,38.15,73.65,86.15,24.77,13.11,89.74,,{}
Lewis Miley,2000189871,74.39,28.17,54.94,29.85,54.52,67.86,22.67,,{}
Sam Watson,2002072967,84.1,15.95,49.16,59.7,85.87,62.17,55.55,,{}
Helmute,2002120183,61.75,38.15,14.13,8.35,42.44,86.15,36.99,,{}
Marc Casadó,2000058198,42.4,2.71,42.77,71.36,36.33,13.11,89.74,,{}
Kobbie Mainoo,2000123586,75.84,12.27,84.84,67.58,70.66,49.07,55.55,,{}
João Pedro,2002119993,89.83,86.05,20.94,4.9,94.96,91.79,45.76,,{}
Pedro Ferreira,55082151,1.49,79.29,1.4,52.99,1.45,1.63,1.45,,{}
Christophe Mougin,2002072259,84.56,64.18,78.4,49.81,47.85,74.11,22.67,,{}
Nikos Michelis,36146763,15.3,38.15,80.13,82.6,9.28,4.38,29.38,,{}
Christian Rasmussen,27148085,28.03,57.65,7.6,13.48,5.92,34.42,29.38,,{}
Williams Alarcón,75047899,81.3,32.84,79.52,75.7,91.09,45.76,75.7,anchor,{"anchor":81}
Chrislain Matsima,49048468,13.99,23.27,94.36,93.24,68.66,17.44,83.96,,{}
Facundo Farías,14240979,34.56,57.65,9.19,8.16,21.04,48.41,22.67,,{}
Pau Prim,2000219666,73.23,32.84,65.9,73.79,53.92,37.73,45.76,,{}
Da Silva,2002120081,4.66,90.81,89.37,97.25,92.54,13.85,97.99,anchor,{"anchor":96}
Alessandro Bianco,43458331,97.06,28.17,89.65,79.06,80.55,61.33,45.76,,{}
Edgar Pujol,2000143033,22.81,96.83,91.7,92.96,29.1,24.21,65.53,,{}
João Paulo,83257700,1.49,99.02,1.4,52.99,1.45,1.63,0.61,,{}
Raphael,2002121482,39.55,23.27,60.4,68.33,95.76,65.81,65.53,,{}
Gonzalo González,2000037510,21.88,12.27,99.67,99.95,62.87,12.36,89.74,,{}
Rodrigo Núñez,2002074639,44.96,57.65,48.55,23.18,94.82,87.5,75.7,,{}
Kai Pluim,2002072752,11.05,1.73,4.48,8.82,4.24,19.03,6.25,,{}
Cisse Sandra,18115747,27.24,75.09,35.03,42.4,14.41,66.51,17.3,,{}
Fabian Kunze,91182934,63.9,5.27,74.58,75.51,14.04,40.16,29.38,,{}
Jonás Fernández,2000292745,36.47,0.47,11.75,18.24,41.37,75.65,45.76,,{}
Robertas Juska,2002102427,37.64,64.18,38.62,47.62,27.94,26.12,13.15,,{}
Kauan Stabelini,2000264290,29.38,86.05,40.25,60.96,90.67,83.3,89.74,,{}
Fabrício,2002152720,31.16,95.34,10.68,28.54,9.56,86.15,22.67,,{}
Marcus,2002121522,66.7,82.93,99.95,90.16,99.21,73.04,45.76,deep playmaker,{"deep playmaker":87}
Gaspar,67248339,59.33,50.7,34.38,6.02,29.71,82.93,29.38,,{}
Liam Gibbs,29233183,99.77,32.84,88.9,57.88,66.18,38.43,45.76,,{}
Okba Mihoubi,2002154674,68.61,79.29,73.09,65.58,50.14,35.07,55.55,,{}
Wimilio Jochemsen,2002155026,80.13,7,9.98,14.88,8.91,27.01,45.76,,{}
Armando Obispo,37056071,9.65,15.95,78.26,92.3,76.12,4.38,99.72,anchor,{"anchor":89}
Marc Ortiz,2000068017,26.77,97.34,17.4,18,26.82,62.17,29.38,,{}
Arijon Ibrahimović,2000114473,91.65,64.18,48.97,7.32,44.78,55.27,13.15,,{}
Mathijs Tielemans,37078347,82.7,75.09,42.12,34.47,20.52,51.91,45.76,,{}
Aleksandar Pavlović,2000171034,63.29,79.29,47.67,48.18,17.72,37.08,55.55,,{}
Gabriel Silva,19360961,27.52,69.96,13.99,1.63,19.59,99.86,22.67,,{}
Jean N'Guessan,12081415,85.91,50.7,53.64,21.18,97.81,79.9,36.99,,{}
Agustín Grillo,2000037068,95.15,12.27,60.26,36.43,61.01,76.31,36.99,,{}
Maximiliano González,2000044155,92.07,82.93,62.36,72.2,65.49,58.26,75.7,,{}
Glauco,2002074152,38.85,86.05,92.68,59.33,99.39,46.27,75.7,,{}
Zidan Sertdemir,2000016037,13.43,15.95,8.35,61.8,11.66,51.21,7.56,,{}
Anouar Ait El Hadj,18113291,1.49,44.22,1.4,52.99,1.45,1.63,3.03,,{}
Jacopo Gramaccia,2002123801,27.24,44.22,27.99,65.16,32.84,28.92,89.74,,{}
Mathias De Wolf,18107448,1.49,86.05,1.4,52.99,1.45,1.63,2.01,,{}
Tidjane Nhaga,2002154514,57.84,32.84,48.79,65.02,74.58,64.04,75.7,,{}
Ignacio Durá,2002125841,9.42,7,76.03,87.83,53.92,19.64,89.74,,{}
Ádám Gyurján,2002171940,50.65,64.18,74.86,69.73,62.03,49.07,55.55,,{}
Loïc Rubio,2002072380,64.88,28.17,51.31,10.96,86.89,59.14,22.67,,{}
Wouter Goes,2000014086,22.81,8.96,73.46,86.61,48.32,25.14,89.74,,{}
Stanley Ndaba,2002145204,94.17,38.15,43.75,41,35.12,65.81,55.55,,{}
Jean-Baptiste Gorby,49053828,38.01,23.27,60.63,58.35,56.39,71.92,75.7,,{}
Miguel Nóbrega,83169857,34.1,69.96,87.64,90.9,77.94,27.01,83.96,anchor,{"anchor":84}
Mamadou Sarr,2000107103,10.96,50.7,88.11,90.35,60.54,6.81,65.53,,{}
Franco Tongya,43426015,85.12,88.81,48.04,10.68,46.04,81.76,17.3,,{}
Nnamdi Ofoborh,28110726,5.55,75.09,4.24,57.6,4.06,11.75,4.85,,{}
Matheus França,2000090823,73.79,57.65,77.52,76.54,80.27,99.35,45.76,deep playmaker,{"deep playmaker":85}
Damienus Reverson,2000040427,28.5,69.96,7.14,19.92,6.95,30.46,55.55,,{}
Jonathan Serrano,2002145346,16.37,38.15,51.54,71.22,37.36,4.38,29.38,,{}
