name,uid,chancesCreated,openCrossesRatio,openSucessfullCrosses90,dribbles,conv,npXG,keyPasses,xA,badges,ratingScores
Boris Loor,2002132070,9.14,6.24,15.38,59.91,72.46,96.33,20.33,3.73,,{}
Marco Delle Monache,2000105337,71.04,77.48,51.67,82.95,44.79,31.66,65.06,64.09,,{}
Asier Sanz,2000272445,66.47,80.82,91.38,90.93,72.46,84.81,64.41,55.02,,{}
Nahuel Bustos,14134258,74.39,83.46,71.04,13.9,55.15,67.63,78.38,74.39,wide playmaker,{"wide playmaker":76}
Luca Cossu,2002073880,77.09,48.78,94.02,98.65,82.24,67.63,88.67,87.26,wide playmaker,{"wide playmaker":84}
Félix Correia,83228739,30.24,48.78,45.37,84.81,68.66,35.14,25.35,28.06,,{}
Rodrigo Mora,2000265865,77.09,21.3,48.07,89.45,64.61,73.55,70.33,64.09,,{}
Tjaš Begić,2000029892,23.62,36.87,42.34,85.01,14.74,17.5,13.26,9.46,,{}
Elías Cabrera,14222117,67.7,89,55.21,20.91,17.89,61.45,89.38,87.26,,{}
Kevin Moreira,37084821,17.57,31.27,20.33,17.7,21.49,2.57,21.88,3.73,,{}
Brian Brobbey,37065620,20.53,25.48,10.23,18.08,64.61,71.69,31.85,13.64,,{}
Mike Trésor,18101818,25.03,80.82,35.71,13.13,44.79,71.69,8.17,28.06,,{}
Lucas Pires,19335371,88.35,86.16,94.34,15.44,14.74,14.22,94.92,84.49,wide playmaker,{"wide playmaker":89}
Jonathan Burkardt,91170086,13,3.02,3.99,19.11,44.79,38.55,6.05,1.61,,{}
Eraldo,2002121314,94.79,55.28,81.27,76.96,60.23,92.92,92.99,96.53,wide playmaker,{"wide playmaker":95}
Nicolò Cambiaghi,43295822,80.82,42.15,86.49,45.95,40.03,17.5,87.97,71.36,wide playmaker,{"wide playmaker":80}
Nick Atkinson,2002154226,17.57,36.87,34.17,47.81,40.03,31.66,18.02,50.51,,{}
Rildo,19382567,38.35,55.28,48.07,59.91,3.93,20.59,28.7,28.06,,{}
Martin Smetana,28128177,75.23,55.28,31.98,10.42,17.89,46.2,61.9,59.65,,{}
Isak Hansen-Aarøen,2000010819,40.09,72.14,58.04,77.61,29.21,17.5,53.15,33.14,,{}
Luca Pellegrini,43252226,12.29,42.15,55.21,21.24,34.11,4.38,13.26,13.64,,{}
Leonardo Lelo,83257795,66.47,31.27,89.64,50.19,98.91,0.45,79.86,37.9,,{}
Nathan Tella,28106683,30.24,91.38,53.8,34.3,34.11,20.59,20.33,9.46,,{}
Timur Kuz'min,2002074732,35.39,55.28,65.32,53.09,11.52,56.5,36.16,55.02,,{}
Maksymilian Jajkowski,2002101184,13.96,72.14,68.02,88.67,34.11,56.5,21.24,22.72,,{}
Alex Bangura,37064890,64.48,83.46,96.33,77.28,3.93,31.66,65.83,71.36,,{}
Hiroshi Watanabe,2002097919,52.96,17.57,79.86,93.24,75.35,49.61,54.83,46.53,,{}
Onurhan Babuşcu,16283560,15.32,48.78,8.43,46.91,89.45,89.19,8.17,9.46,,{}
Tom Saettel,2000116595,51.48,25.48,72.2,59.65,29.21,14.22,56.37,55.02,,{}
Olivier Deman,18096737,2.38,3.02,3.99,1.67,3.93,14.22,1.8,13.64,,{}
Lukas Ullrich,2000154596,28.83,55.28,90.86,50.51,40.03,6.18,61.9,59.65,,{}
Nico Paz,2000163799,84.88,72.14,90.86,69.76,34.11,42.34,62.81,79.34,,{}
Tanguy Coulibaly,49039276,71.04,48.78,92.79,71.69,98.46,20.59,72.01,64.09,,{}
Keito Nakamura,45108807,36.87,8.43,18.79,58.82,94.53,20.59,24.45,22.72,,{}
Víctor Mollejo,67272501,69.76,8.43,45.37,85.33,55.15,35.14,52.19,64.09,,{}
Kadan Young,2000198728,85.97,61.33,86.87,96.65,64.61,49.61,83.59,92.47,wide playmaker,{"wide playmaker":87}
Telasco Segovia,86080119,50.26,98.52,59.91,12.29,3.93,6.18,42.02,33.14,,{}
Franco Carboni,43619130,23.62,8.43,48.07,72.65,40.03,4.38,42.02,22.72,,{}
Alex O'Hara,2000109160,92.99,25.48,68.02,82.11,68.66,46.2,80.57,81.72,wide playmaker,{"wide playmaker":85}
Paul Nebel,91188358,60.49,36.87,15.38,38.87,40.03,26,39.06,64.09,,{}
Sithembiso Ndlovu,2002127319,87.77,94.02,83.78,68.21,44.79,77.09,90.99,96.14,wide playmaker,{"wide playmaker":92}
Luka Parkadze,2000169191,68.66,86.16,65.32,83.59,49.68,26,32.95,84.49,,{}
Callum Doyle,2000102065,38.35,25.48,20.33,35.14,3.93,23.29,18.02,22.72,,{}
Marcos Leonardo,19380666,15.32,61.33,20.33,17.95,72.46,77.09,19.43,18.15,,{}
Facundo Lencioni,2000091830,25.03,83.46,95.56,76.71,99.81,61.45,70.33,55.02,,{}
Nik Prelec,62203802,36.87,91.38,13.32,12.29,60.23,69.56,13.26,46.53,,{}
Gianluca Prestianni,2000104173,64.48,72.14,72.2,71.04,40.03,38.55,76.38,46.53,,{}
Tiago Morais,2000013427,60.49,14.22,42.34,78.19,72.46,42.34,52.19,50.51,,{}
Ebrima Colley,43474378,51.48,72.14,79.86,85.84,78.83,56.5,61.9,55.02,,{}
Newertton,2000135788,96.46,77.48,99.16,99.03,49.68,31.66,99.29,97.23,winger;wide playmaker,{"winger":93;"wide playmaker":98}
Christopher Scott,92097822,32.82,61.33,61.97,32.5,14.74,26,18.02,37.9,,{}
Pontus Almqvist,93087462,9.97,31.27,17.25,24.39,34.11,17.5,14.54,3.73,,{}
Velibor Elesin,2000265960,51.48,99.94,90.86,33.14,3.93,11.52,61.9,42.41,,{}
Roberto Martínez,2002143751,85.46,91.38,56.76,25.74,29.21,53.02,82.18,89.06,wide playmaker,{"wide playmaker":86}
David Pereira Da Costa,49054412,22.01,72.14,40.99,58.17,91.06,6.18,14.03,37.9,,{}
Iñaki Labaien,2002073151,92.21,36.87,91.38,89.45,64.61,38.55,87.97,94.14,wide playmaker,{"wide playmaker":91}
José Manuel López,2000044526,23.62,95.24,10.23,9.65,96.07,97.49,16.02,33.14,,{}
Fernando Gómez,2002074335,68.66,14.22,13.32,7.66,29.21,26,70.33,42.41,,{}
Adrian Benedyczak,96114107,9.14,72.14,21.69,29.15,68.66,67.63,11.26,1.61,,{}
Max Moerstedt,2000230641,54.89,8.43,13.32,36.16,60.23,99.74,77.86,64.09,,{}
Michael Kayembe,2002133481,22.01,94.02,15.38,38.16,96.07,80.63,23.55,13.64,,{}
Rubens,19367258,43.05,80.82,55.21,20.91,34.11,11.52,75.68,67.95,,{}
Abel Bretones,67288450,43.05,21.3,66.47,54.83,75.35,9.59,22.72,42.41,,{}
Riquelme Fillipi,2000263996,57.92,48.78,83.78,87.97,78.83,61.45,78.38,89.06,,{}
Gašper Gobec,49048524,35.39,21.3,53.8,44.98,11.52,14.22,30.69,33.14,,{}
Théo Ndicka Matam,48044030,6.44,66.6,27.99,5.53,8.37,49.61,7.01,18.15,,{}
José Neris,78088635,25.03,55.28,11.52,14.35,99.29,77.09,9.07,22.72,,{}
Emanuel Vignato,43296186,8.3,91.38,26.19,16.15,60.23,61.45,15.19,22.72,,{}
Matheus Martins,19400560,90.48,72.14,55.21,61.33,85.07,71.69,84.36,76.83,wide playmaker,{"wide playmaker":84}
Liberato Cacace,88024471,2.38,3.02,3.99,1.67,25.55,26,1.8,22.72,,{}
Paulo Victor,2000085258,22.01,80.82,20.33,22.46,92.73,56.5,9.46,9.46,,{}
Andrea Cambiaso,43339195,22.01,7.14,13.32,38.16,3.93,4.38,36.16,13.64,,{}
Jamie Donley,2000123638,28.83,17.57,9.27,18.73,82.24,61.45,20.33,9.46,,{}
Brajan Gruda,2000180822,80.82,48.78,59.91,55.98,82.24,83.59,60.42,55.02,,{}
Gerónimo Rivera,2000264329,36.87,17.57,61.97,89,25.55,17.5,31.85,46.53,,{}
Noah Weißhaupt,91190768,50.26,31.27,79.86,87.97,9.46,49.61,59.2,50.51,,{}
José Carlos,2002142665,41.63,96.2,27.99,34.43,85.07,99.55,24,42.41,,{}
Guilherme Bala,19398912,83.78,72.14,72.2,97.04,17.89,64.86,46.53,76.83,winger,{"winger":81}
Sidiki Chérif,2000271175,13,42.15,26.19,33.14,78.83,92.02,11.26,18.15,,{}
Georgi Tunjov,47070304,15.32,25.48,9.27,10.42,34.11,17.5,23.55,6.5,,{}
Robert,2002119878,44.79,42.15,58.04,46.27,49.68,67.63,66.54,37.9,,{}
Roger Fernandes,2000107424,94.14,55.28,93.05,94.85,21.49,56.5,98.39,98.39,wide playmaker,{"wide playmaker":97}
Dilane Bakwa,49048348,58.94,61.33,74.52,96.4,34.11,14.22,45.17,50.51,,{}
Zacarias Domingos,2002101580,75.23,61.33,93.82,51.93,21.49,26,67.05,74.39,,{}
Ivo Mammini,14237512,27.61,25.48,37,65.51,89.45,99.94,85.97,74.39,,{}
Delfí,2002072509,27.61,42.15,31.98,53.67,68.66,69.56,27.99,22.72,,{}
Enzo Molebe,2000288922,60.49,42.15,55.21,73.94,49.68,84.81,55.53,81.72,,{}
Sofian Kiyine,18089278,7.4,55.28,17.25,3.41,3.93,67.63,4.7,37.9,,{}
Cuiabano,2000064082,81.72,48.78,89.06,81.47,3.93,0.45,73.62,84.49,wide playmaker,{"wide playmaker":80}
Víctor Moreno,2000215081,16.67,21.3,56.76,73.29,49.68,59.14,36.16,13.64,,{}
David Toledo,2002124483,40.09,66.6,43.63,29.73,72.46,87.97,39.06,13.64,,{}
Óscar Rosas,2002098863,97.55,97.1,89.64,57.59,14.74,61.45,88.67,95.69,wide playmaker,{"wide playmaker":94}
Ferran Jutglà,67272136,7.4,77.48,26.19,12.29,96.07,71.69,6.24,22.72,,{}
Daniel Pérez,86072360,11.52,72.14,23.1,15.7,87.58,89.19,12.55,6.5,,{}
Alexis Tibidi,2000006110,79.28,31.27,56.76,63.38,49.68,87.97,49.36,74.39,,{}
Àlex Valle,2000082098,15.32,14.22,18.79,37.64,25.55,4.38,27.16,13.64,,{}
Roberto López,67272882,44.79,55.28,20.33,13.13,40.03,49.61,50.77,59.65,,{}
Shaqueel van Persie,2000177913,54.05,72.14,13.32,37.13,82.24,97.94,45.17,55.02,,{}
Agustín Ruberto,2000173400,31.53,77.48,23.1,38.48,96.07,90.67,21.88,6.5,,{}
Mohamed Skhiri,2002099573,26.38,21.3,17.25,70.33,55.15,64.86,27.16,6.5,,{}
Lautaro Pastrán,2000049540,92.21,55.28,84.36,90.09,14.74,73.55,81.85,81.72,wide playmaker,{"wide playmaker":85}
Jan Žambůrek,29217261,2.38,3.02,3.99,1.67,3.93,69.56,1.8,9.46,,{}
Enric,2002074870,81.72,72.14,68.92,74.84,40.03,23.29,52.19,59.65,,{}
Aristide Kamdem,2002134293,50.26,31.27,75.1,92.21,34.11,14.22,51.35,28.06,,{}
Edward Chilufya,13191598,13.96,42.15,48.07,12.81,11.52,77.09,8.49,22.72,,{}
Mohamed Ouédraogo,2002073664,2.38,48.78,8.43,3.8,9.46,49.61,4.83,46.53,,{}
Gautier Ott,49053683,80.12,61.33,76.38,89.77,96.07,61.45,37.64,74.39,,{}
Sebastiano Esposito,43425069,10.94,10.81,9.27,14.99,60.23,46.2,8.82,9.46,,{}
Anderson Niangbo,13136663,7.4,86.16,8.43,4.44,21.49,82.24,4.57,18.15,,{}
Emanuel Emegha,37088234,28.83,99.29,37,28.25,72.46,96.33,18.02,33.14,,{}
Kai-David Nicolas,2002075630,35.39,95.24,20.33,9.33,91.06,73.55,20.33,9.46,,{}
William Balikwisha,18108548,2.38,3.02,3.99,1.67,3.93,35.14,1.8,9.46,,{}
Muhammed Damar,2000146258,71.04,77.48,35.71,20.27,64.61,38.55,65.83,90.09,,{}
Carlos Gomes,2000247550,85.46,55.28,89.06,85.33,49.68,71.69,96.33,84.49,wide playmaker,{"wide playmaker":89}
Carlos García,2002073952,65.38,48.78,80.5,89,92.73,17.5,40.41,71.36,,{}
Anders Dreyer,27111934,16.67,31.27,31.98,7.53,55.15,26,22.72,46.53,,{}
Esa Laurila,2002131703,75.87,98.52,50.9,21.69,85.07,7.98,72.01,71.36,wide playmaker,{"wide playmaker":73}
Luciano Gondou,14242394,54.05,42.15,10.23,28.25,55.15,96.33,44.14,46.53,,{}
Hugo Félix,83335589,31.53,91.38,29.86,33.78,34.11,49.61,35.46,55.02,,{}
Manuel Duarte,2000094562,98.26,89,98.65,54.38,85.07,28.76,97.81,99.68,wide playmaker,{"wide playmaker":99}
Óscar Aranda,2000052060,20.53,61.33,51.67,70.33,87.58,53.02,26.32,28.06,,{}
Paris Brunner,2000180882,23.62,72.14,37,60.55,78.83,86.36,13.26,6.5,,{}
José Ramírez,2002125947,60.49,14.22,66.47,88.35,29.21,26,60.42,59.65,,{}
Laurin Ulrich,2001040995,32.82,94.02,69.88,64.16,60.23,90.67,68.47,42.41,,{}
Afonso Moreira,2000111055,92.99,61.33,91.96,90.41,29.21,35.14,90.41,96.53,wide playmaker,{"wide playmaker":93}
Fedde de Jong,37084339,44.79,17.57,23.1,20.27,25.55,49.61,45.95,42.41,,{}
Mamoudou Karamoko,49045804,2.38,48.78,9.27,8.43,34.11,90.67,4.05,18.15,,{}
Lucas Díaz,2002074334,47.94,97.94,51.67,39.25,94.53,95.69,44.14,55.02,,{}
Luca Oyen,18111195,2.38,3.02,3.99,1.67,21.49,78.96,1.8,22.72,,{}
Hugo Ekitike,49062667,23.62,25.48,29.86,39.77,72.46,69.56,46.91,13.64,,{}
Isidre,2002073337,25.03,42.15,38.93,72.65,89.45,69.56,22.72,22.72,,{}
Matchoi Djaló,83297506,56.82,55.28,69.88,59.33,29.21,49.61,56.37,64.09,,{}
Luis,2002134509,66.47,17.57,43.63,75.68,92.73,82.24,58.56,64.09,,{}
Vincent Diallo,2002075461,84.88,36.87,68.02,84.36,87.58,71.69,69.05,71.36,inside,{"inside":82}
Rodrigo Conceição,83169876,47.94,14.22,61.97,48.33,29.21,20.59,55.53,42.41,,{}
Jarne Steuckers,18115871,22.01,61.33,40.99,28.7,64.61,11.52,29.47,28.06,,{}
Martín Campos,2000085261,69.76,36.87,59.91,26.58,82.24,20.59,67.7,42.41,,{}
Alexis Trouillet,49039032,62.23,61.33,18.79,11.2,55.15,20.59,42.99,67.95,,{}
Juan Román Zarza,14227187,41.63,66.6,20.33,70.08,60.23,26,34.11,50.51,,{}
Júlio César,2002120037,67.7,77.48,84.36,92.08,49.68,46.2,81.85,64.09,,{}
Franjo Ivanović,2000068412,56.82,94.02,37,17.37,91.06,84.81,55.53,50.51,,{}
Amin Sarr,93122985,38.35,31.27,13.32,39.77,91.06,97.94,48.39,67.95,,{}
Eloi Fàbregas,2002104771,43.05,83.46,64.16,37.13,68.66,56.5,73.62,64.09,,{}
Jamie Leweling,92103754,72.72,25.48,88.1,62.81,44.79,23.29,70.33,81.72,wide playmaker,{"wide playmaker":75}
Yankuba Minteh,2000195626,62.23,61.33,53.8,73.62,17.89,28.76,24.45,64.09,,{}
Facundo Rodríguez,2002136198,49.1,17.57,15.38,38.48,92.73,35.14,61.9,67.95,,{}
Matías Galarza,14253397,6.44,17.57,8.43,5.53,8.37,42.34,8.82,13.64,,{}
Ervis Adili,2002072456,15.32,25.48,40.99,54.38,60.23,69.56,27.16,28.06,,{}
Atsushi Sugimoto,2002098011,36.87,36.87,55.21,87.07,87.58,35.14,51.35,67.95,,{}
Ezequiel Bullaude,14207820,9.14,8.43,3.99,42.86,55.15,42.34,19.43,3.73,,{}
Franco Watson,14224724,99.55,61.33,68.02,53.67,64.61,92.02,96.85,97.23,wide playmaker,{"wide playmaker":98}
Darko Churlinov,91178617,66.47,25.48,65.32,84.56,11.52,42.34,67.7,67.95,,{}
Diego Moreira,2000027719,6.44,72.14,23.1,7.92,40.03,31.66,5.73,64.09,,{}
Manuel Fernández,2000141882,52.96,12.29,52.64,98.07,40.03,23.29,41.25,46.53,,{}
Helmute,2002120183,56.82,42.15,58.94,49.68,25.55,49.61,80.89,59.65,,{}
Yoan Bonny,49061476,10.55,14.22,13.32,14.35,87.58,97.23,19.43,6.5,,{}
Jesús Diaz,2000007236,86.87,48.78,83.78,99.81,44.79,38.55,85.01,93.31,wide playmaker,{"wide playmaker":88}
Riccardo Ciervo,43424868,40.09,42.15,66.47,79.15,21.49,42.34,38.42,28.06,,{}
Christian Rasmussen,27148085,41.63,31.27,11.52,28.7,85.07,46.2,20.33,28.06,,{}
Naci Ünüvar,37079279,44.79,55.28,65.32,42.34,40.03,28.76,46.91,64.09,,{}
Facundo Farías,14240979,60.49,72.14,34.17,68.79,94.53,35.14,37.64,28.06,,{}
Odair José,2002120019,28.83,10.81,52.64,91.83,14.74,14.22,16.02,6.5,,{}
João Paulo,83257700,2.38,3.02,3.99,1.67,3.93,75.16,1.8,28.06,,{}
Wahid Faghir,27156353,2.38,10.81,10.23,6.69,34.11,92.92,5.73,13.64,,{}
Iggy Houben,37084998,86.87,89,90.15,95.56,60.23,64.86,90.99,91.25,winger;wide playmaker,{"winger":90;"wide playmaker":90}
Bruno,2002119938,83.14,66.6,97.75,83.98,72.46,35.14,95.56,89.06,wide playmaker,{"wide playmaker":89}
Youssef Amyn,2000070799,28.83,17.57,38.93,77.28,11.52,23.29,28.7,33.14,,{}
Jonás Fernández,2000292745,80.12,91.38,37,47.81,44.79,75.16,68.47,93.31,,{}
David Øland Jensen,2000201677,81.72,25.48,90.15,38.16,9.46,11.52,86.74,84.49,wide playmaker,{"wide playmaker":84}
Mateo Sequeira,2002074650,92.99,96.2,91.96,86.94,85.07,87.97,88.35,92.47,winger;inside;wide playmaker,{"winger":92;"inside":88;"wide playmaker":91}
Marcus,2002121522,54.89,80.82,34.17,36.49,96.07,7.98,65.83,55.02,,{}
Gaspar,67248339,68.66,97.94,97.17,55.41,64.61,42.34,77.22,59.65,,{}
Mauricio Morales,2002119751,32.82,10.81,68.02,65.77,17.89,9.59,21.24,22.72,,{}
Fábio Silva,83228802,20.53,86.16,38.93,34.62,60.23,75.16,27.99,9.46,,{}
Samuel González,2002124203,54.89,36.87,58.94,91.57,55.15,80.63,42.02,50.51,,{}
Rodrigo Cabral,14245316,63.38,31.27,95.37,44.14,68.66,14.22,69.56,59.65,,{}
Arijon Ibrahimović,2000114473,67.7,72.14,71.04,66.34,49.68,28.76,45.95,81.72,,{}
Hamza Hodžić,2002162797,77.09,25.48,73.62,84.56,72.46,42.34,82.75,71.36,wide playmaker,{"wide playmaker":77}
Tiago Tomás,83261927,23.62,14.22,15.38,14.99,82.24,80.63,36.94,6.5,,{}
Gabriel Silva,19360961,99.94,72.14,98.78,92.79,87.58,84.81,99.16,99.49,winger;inside;wide playmaker,{"winger":91;"inside":91;"wide playmaker":100}
Rodrigo Mendes,2000024689,50.26,77.48,52.64,77.93,68.66,78.96,53.99,28.06,,{}
Juan Bisanz,14224843,95.24,77.48,77.99,44.98,55.15,23.29,63.84,81.72,,{}
Agustín Grillo,2000037068,60.49,42.15,40.99,17.37,40.03,11.52,69.05,64.09,,{}
Mário Gomes,2002154103,54.05,17.57,58.04,72.2,34.11,80.63,44.14,71.36,,{}
Rafael Guimente,2002119971,49.1,10.81,37,73.29,97.36,64.86,62.81,84.49,,{}
Anouar Ait El Hadj,18113291,2.38,3.02,3.99,1.67,8.37,59.14,1.8,22.72,,{}
Jakob Breum,27164267,88.35,36.87,90.86,71.94,94.53,53.02,76.38,89.06,wide playmaker,{"wide playmaker":85}
Hélio Varela,2000091607,62.23,17.57,82.63,93.37,78.83,23.29,74.07,74.39,,{}
Pau Víctor,2000062523,15.32,7.14,9.27,19.82,87.58,64.86,7.01,1.61,,{}
Mathias De Wolf,18107448,2.38,3.02,3.99,1.67,9.46,75.16,1.8,6.5,,{}
José María,2002073183,18.53,14.22,56.76,11.97,3.93,0.45,27.16,22.72,,{}
Loïc Rubio,2002072380,62.23,89,82.18,37.64,34.11,46.2,50.77,64.09,,{}
Franco Tongya,43426015,77.09,12.29,69.88,47.55,34.11,11.52,75.03,81.72,wide playmaker,{"wide playmaker":78}
Danilo,2002121061,64.48,55.28,83.2,75.35,44.79,90.67,50.06,59.65,,{}
Lukas Da Cruz,2000307598,5.21,3.02,3.99,4.89,21.49,71.69,4.05,18.15,,{}
Arnau Pradas,2000219697,41.63,21.3,77.99,79.34,72.46,26,62.81,55.02,,{}
Nicolas,19406071,95.24,80.82,98.13,82.75,87.58,89.19,97.81,96.53,winger;inside;wide playmaker,{"winger":89;"inside":89;"wide playmaker":97}
Lucio Falasco,2000081335,77.09,21.3,24.71,57.21,17.89,46.2,77.86,76.83,wide playmaker,{"wide playmaker":77}
Ghassan Abbas,2002144222,8.3,72.14,38.93,11.2,49.68,4.38,9.91,1.61,,{}
Lautaro Fedele,2000085182,93.76,77.48,43.63,26,91.06,96.33,69.05,71.36,,{}
Didier Van de Voorde,2002144216,93.5,91.38,55.21,43.69,60.23,64.86,93.69,94.14,wide playmaker,{"wide playmaker":94}
Juuso Nousiainen,2002124583,69.76,21.3,67.18,80.63,64.61,23.29,64.41,50.51,,{}
Antoine Colassin,18106073,2.38,3.02,3.99,1.67,64.61,71.69,1.8,18.15,,{}
Magnus Warming,27132199,9.97,31.27,29.86,26.58,60.23,92.92,29.47,13.64,,{}
Thomas Kastanaras,2000051522,41.63,98.97,45.37,26.58,75.35,67.63,18.73,9.46,,{}
Christian Sinisgallo,2002133565,82.56,91.38,58.94,30.57,25.55,46.2,96.14,90.09,wide playmaker,{"wide playmaker":90}
Davide Corelli,2002135437,96.2,97.1,61.97,27.61,68.66,82.24,92.73,84.49,wide playmaker,{"wide playmaker":91}
Ernest Poku,2000014559,8.3,21.3,38.93,44.59,97.36,64.86,18.73,6.5,,{}
Adriano Yonezawa,2002119874,90.48,66.6,92.54,44.14,49.68,11.52,93.37,79.34,wide playmaker,{"wide playmaker":88}
Amario Cozier-Duberry,2000134393,25.03,12.29,61.97,77.61,72.46,14.22,18.73,18.15,,{}
Sidney Pires,2002075440,79.28,96.2,27.99,30.82,60.23,64.86,57.34,79.34,,{}
Archie Brown,29217603,15.32,36.87,72.2,20.59,3.93,9.59,42.99,22.72,,{}
Julien Bellet,2002074825,31.53,55.28,34.17,20.27,87.58,78.96,20.33,13.64,,{}
Ramón Ramos,2002102123,35.39,17.57,15.38,49.03,34.11,42.34,18.73,13.64,,{}
Dudu,2000218052,16.67,48.78,42.34,18.34,3.93,20.59,37.64,33.14,,{}
Matas Ivanauskas,2002075054,27.61,12.29,35.71,37.64,49.68,2.57,14.54,13.64,,{}
Luciano Ferreyra,14227040,94.47,72.14,93.56,84.17,40.03,17.5,83.98,94.98,winger;wide playmaker,{"winger":86;"wide playmaker":91}
Eddie Salcedo,43372893,10.55,3.02,3.99,14.99,94.53,69.56,7.92,0.71,,{}
Tyler Johnson,2002125819,47.94,48.78,24.71,48.33,55.15,53.02,25.35,37.9,,{}
Derek Suárez,2000051202,64.48,42.15,86.49,61.07,34.11,38.55,76.38,46.53,,{}
Alex Pereira,2002099622,26.38,21.3,58.04,86.49,49.68,46.2,39.64,46.53,,{}
José,2002152616,41.63,92.99,63.19,31.21,87.58,97.49,61.9,46.53,,{}
Anders Axelsson,2002072680,9.14,99.74,15.38,6.44,44.79,75.16,4.44,33.14,,{}
Guilherme Biro,2000073857,44.79,61.33,60.68,63.38,78.83,6.18,53.15,37.9,,{}
Lucas Besozzi,2000048809,28.83,48.78,21.69,14.74,49.68,56.5,30.69,28.06,,{}
Ricardo,2002119991,52.96,17.57,20.33,56.82,87.58,87.97,39.64,42.41,,{}
Claudio Echeverri,2000094152,68.66,42.15,53.8,45.43,49.68,86.36,65.06,64.09,,{}
Cristian Gauna,2002127557,66.47,72.14,34.17,55.6,60.23,82.24,50.06,64.09,,{}
Luís Gomes,2000047625,26.38,14.22,40.99,52.57,34.11,38.55,13.26,13.64,,{}
Chemsdine Talbi,2000103798,38.35,72.14,29.86,22.46,9.46,64.86,48.39,59.65,,{}
Mattia Pilenga,2002073450,83.14,66.6,56.76,41.76,49.68,31.66,77.22,76.83,wide playmaker,{"wide playmaker":79}
Cobel Sow,2000301158,38.35,72.14,43.63,63.38,68.66,20.59,40.41,42.41,,{}
Bruno Iglesias,2000052096,57.92,55.28,56.76,74.32,34.11,82.24,42.99,50.51,,{}
Gabriel Iriarte,2000036875,40.09,61.33,31.98,40.73,49.68,53.02,22.72,13.64,,{}
Javi Llabrés,2000197966,20.53,10.81,38.93,44.59,17.89,14.22,17.44,13.64,,{}
Facundo Daniele,2000144691,56.82,61.33,31.98,41.06,55.15,89.19,42.99,33.14,,{}
Jerónimo Rojas,2002136213,81.72,86.16,45.37,24.84,68.66,97.49,60.42,71.36,,{}
Nikolas Dyhr,27129140,5.86,17.57,24.71,9.14,40.03,6.18,22.72,28.06,,{}
Alberto Álamo,2002125959,71.04,48.78,74.52,74.84,44.79,26,63.32,67.95,,{}
Figueiredo,2000036263,18.53,3.02,3.99,23.36,21.49,49.61,12.03,13.64,,{}
Lucas Barros,2002122836,77.09,17.57,34.17,55.15,9.46,42.34,81.4,71.36,wide playmaker,{"wide playmaker":77}
Justin Poulain,2002136408,25.03,21.3,50.9,56.82,98.46,42.34,28.7,9.46,,{}
Mikey Moore,2000298715,50.26,72.14,79.86,60.23,11.52,28.76,83.59,46.53,,{}
Hugo,2002132656,10.55,3.02,3.99,3.6,29.21,9.59,9.91,3.73,,{}
Lisandro Piñero,2000278075,63.38,25.48,78.51,66.8,9.46,28.76,76.38,74.39,,{}
Augusto Gallo,2000051171,98.97,95.24,99.42,81.47,49.68,23.29,99.49,99.81,winger;wide playmaker,{"winger":94;"wide playmaker":99}
Jaden Slory,2000054508,30.24,8.43,38.93,80.82,34.11,35.14,42.99,22.72,,{}
Gabriel,2002152608,90.48,55.28,85.97,89,40.03,94.14,85.52,79.34,wide playmaker,{"wide playmaker":85}
Kazeem Olaigbe,18111482,7.4,8.43,8.43,7.21,17.89,59.14,7.53,18.15,,{}
Omari Kellyman,2000147523,58.94,36.87,38.93,57.92,64.61,90.67,52.19,37.9,,{}
Mariano Penepil,2000050546,44.79,66.6,29.86,46.91,21.49,20.59,32.95,50.51,,{}
Luca Raimund,2000180828,23.62,8.43,15.38,48.33,3.93,64.86,58.56,18.15,,{}
Famana Quizera,83209467,41.63,77.48,31.98,54.38,55.15,11.52,36.16,42.41,,{}
Matias Padilla,2002127670,40.09,91.38,68.02,73.94,75.35,80.63,63.84,42.41,,{}
Lucas,2002075059,55.86,36.87,68.92,98.26,44.79,23.29,62.81,37.9,,{}
Giacomo Sala,2002123931,80.82,31.27,23.1,36.49,60.23,92.02,53.99,74.39,,{}
Vasco Sousa,2000268521,72.72,72.14,82.88,69.18,3.93,35.14,86.23,92.47,wide playmaker,{"wide playmaker":84}
Paolo Alarcón,2002143198,38.35,36.87,29.86,68.21,3.93,71.69,15.19,18.15,,{}
Giacomo Quaranta,2002133750,15.32,17.57,46.72,69.18,96.07,26,27.99,13.64,,{}
Diego Cabezas,2002122829,36.87,36.87,63.19,23.36,3.93,9.59,50.77,28.06,,{}
Valerio Pugliese,2002075153,40.09,89,26.19,27.03,91.06,86.36,24,33.14,,{}
Jerónimo Domina,2000166219,11.52,72.14,74.07,74.84,49.68,42.34,45.95,13.64,,{}
Magnus Kaastrup,27138191,23.62,95.24,48.07,19.43,25.55,61.45,26.32,76.83,,{}
Giovanni Fabbian,43500245,69.76,12.29,21.69,35.59,64.61,23.29,67.05,64.09,,{}
José Vitor,2002152702,97.81,83.46,97.49,33.78,68.66,28.76,98.01,93.31,wide playmaker,{"wide playmaker":96}
Pablo Correa,2002127286,96.46,55.28,53.8,17.37,64.61,14.22,84.68,84.49,wide playmaker,{"wide playmaker":89}
